Question,optionA,optionB,optionC,optionD,Answer
Q. What is the function of ribosomes in a cell?,A) Energy production,B) Protein synthesis,C) Lipid synthesis,D) DNA replication,Answer: B
Q. Which of the following is a prokaryotic cell organelle?,A) Nucleus,B) Mitochondrion,C) Ribosome,D) Endoplasmic reticulum,Answer: C
"Q. In the process of photosynthesis, oxygen is produced during which stage?",A) Light reaction,B) Calvin cycle,C) Krebs cycle,D) Glycolysis,Answer: A
Q. The Hardy-Weinberg equilibrium is used to study:,A) Evolutionary changes in populations,B) Genetic drift,C) Gene flow,D) Speciation,Answer: A
Q. What is the primary function of the Golgi apparatus in a cell?,A) Energy production,B) Protein synthesis,C) Lipid synthesis,D) Post-translational modification and sorting of proteins,Answer: D
"Q. In human reproduction, where does fertilization occur?",A) Ovary,B) Uterus,C) Fallopian tube,D) Cervix,Answer: C
Q. What is the role of tRNA in protein synthesis?,A) Transcription of DNA,B) Translation of mRNA into a protein,C) Carrying amino acids to the ribosome,D) Formation of ribosomes,Answer: C
Q. Which of the following is an example of a nitrogen-fixing bacteria?,A) Escherichia coli (E. coli),B) Bacillus subtilis,C) Rhizobium,D) Streptococcus,Answer: C
Q. Which of the following is not a characteristic feature of phylum Porifera? ,A) Presence of pores ,B) Cellular level of organization ,C) Presence of notochord ,D) Mostly marine ,Answer: C
Q. Which of the following is a gymnosperm? ,A) Mango ,B) Pea ,C) Pine ,D) Wheat ,Answer: C
Q. The process of separation and purification of expressed protein before marketing is called: ,A) Bioprocessing ,B) Downstream processing ,C) Upstream processing ,D) Biotechnology ,Answer: B
Q. Which of the following is a vestigial organ in human beings? ,A) Nictitating membrane ,B) Ear muscles ,C) Wisdom teeth ,D) All of the above ,Answer: D
Q. Which of the following is not a part of the human digestive system? ,A) Salivary gland ,B) Liver ,C) Spleen ,D) Stomach ,Answer: C
Q. Which of the following is not a sexually transmitted disease? ,A) Syphilis ,B) Gonorrhea ,C) AIDS ,D) Asthma ,Answer: D
Q. Which of the following is not a greenhouse gas? ,A) Carbon dioxide ,B) Methane ,C) Nitrous oxide ,D) Oxygen ,Answer: D
Q. The term 'biotechnology' was coined by: ,A) James Watson ,B) Francis Crick ,C) Kary Mullis ,D) Karl Ereky ,Answer: D
Q. Which of the following is not a biofertilizer? ,A) Rhizobium ,B) Azotobacter ,C) Agrobacterium ,D) Azospirillum ,Answer: C
