Name,Address,Fees,Placement,Hostel,Transportation,Link
L.D. College of Engineering,"GMV Complex, Nr. Nehru Bridge, Ahmedabad, Gujarat 380015","Approx 9,520",75% ,Yes,Yes,https://ldce.ac.in/
Silver Oak University,"352/353, Silver Oak University, 370/371, near Bhavik Publication, Gota Gam, Gota, Ahmedabad, Gujarat 382481","78,000 per annum",65-70% ,Yes,Yes,https://silveroakuni.ac.in/
Vishwakarma Government Engineering College,"69, Shri Hari Estate, Panna Estate Rd, Ahmedabad - 380006",Approx 2.98L,60% (Approximate),Yes,Yes,https://www.vgecg.ac.in/
Nirma University,"Nr. Ashram Road, Ahmedabad, Gujarat 382455","2,05,000 per annum.",100%,Yes,Yes,https://www.nirmauni.ac.in/
Indus University,"Rancharda, Via, Shilaj, Gujarat 382115"," 1,01,000 per year",70-80%,Yes,Yes,https://indusuni.ac.in/home.php
Ahmedabad Institute of Technology (AIT),"Thaltej, Ahmedabad, Gujarat 380015","1,49,000 - 2,84,000",60-65% ,Yes,No,http://www.aitindia.in/
LJ University,"LJ Campus, LJ College Rd, near Sanand - Sarkhej Road, Makarba, Sarkhej-Okaf, Gujarat 382210","73,000 per year",60-70%,yes ,yes,https://www.ljku.edu.in/
Institute of Infrastructure Technology Research and Management,"Nr. Gujarat International Finance Tec-City, Gandhinagar-Ahmedabad Highway, Ahmedabad, Gujarat 382428",Approx 4.79L,90-95%,Yes,Yes,https://iitram.ac.in/
Ahmedabad Institute of Aeronautical Engineering & Information Technology,"Beside Vasantnagar Township 380061, Gota Ognaj road, Off, Gota Cross roads, Ahmedabad, Gujarat 380061","1,60,000",N/A,No,No,https://www.univariety.com/college/Ahmedabad-Institute-of-Aeronautical-Engineering-Information-Technology-AIAEIT/80c91ec0
Aditya College Of Engineering,"XFFP+5H3, 1st St, Sarkhej, Ahmedabad, Sarkhej-Okaf, Gujarat 382210",N/A,N/A,Yes,Yes,https://www.acoe.edu.in/
Rai University ,"504E, 100 Feet Rd, Satellite, Ahmedabad, Gujarat 380015",1.35L,50%,Yes,Yes,https://www.raiuniversity.edu/
SAL Education,"19, 20, opp. Science City, Sola, Ahmedabad, Gujarat 380060",2.96L,70%,No,No,https://www.sal.edu.in/
