Name,Address,Fees,Placement,Hostel,Transportation,Link
Rai University ,"504E, 100 Feet Rd, Satellite, Ahmedabad, Gujarat 380015",₹2.6L ,50%,Yes,Yes,https://www.raiuniversity.edu/

Aditya College Of Engineering,"XFFP+5H3, 1st St, Sarkhej, Ahmedabad, Sarkhej-Okaf, Gujarat 382210",Approx ₹1.72L,N/A,Yes,Yes,https://www.acoe.edu.in/
Ahmedabad Institute of Aeronautical Engineering & Information Technology,"Beside Vasantnagar Township 380061, Gota Ognaj road, Off, Gota Cross roads, Ahmedabad, Gujarat 380061",Approx ₹1.5L,N/A,No,No,https://www.univariety.com/college/Ahmedabad-Institute-of-Aeronautical-Engineering-Information-Technology-AIAEIT/80c91ec0
Ahmedabad University,"Commerce Six Roads, Naranpark Society, Navrangpura, Ahmedabad, Gujarat 380009","Approx ₹3,50,000 per year",91%,yes,Yes,https://ahduni.edu.in/
Sardar Patel Institute of Technology,"Drive In Rd, near Doordarshan Tower, Thaltej, Ahmedabad, Gujarat 380054",₹6.09L,N/A,No,No,http://www.spit.ac.in/
SAL Education,"19, 20, opp. Science City, Sola, Ahmedabad, Gujarat 380060","₹56,000 per year",70%,No,No,https://www.sal.edu.in/
Indus University,"Rancharda, Via, Shilaj, Gujarat 382115",₹4.04L per year,70-80%,Yes,Yes,https://indusuni.ac.in/home.php
Nirma University,"Nr. Ashram Road, Ahmedabad, Gujarat 382455",₹8.2L,100%,Yes,Yes,https://www.nirmauni.ac.in/
Vishwakarma Government Engineering College,"69, Shri Hari Estate, Panna Estate Rd, Ahmedabad - 380006","₹1,500 per year",60% (Approx),Yes,Yes,https://www.vgecg.ac.in/
Silver Oak University,"352/353, Silver Oak University, 370/371, near Bhavik Publication, Gota Gam, Gota, Ahmedabad, Gujarat 382481",₹3.12L,65-70% ,Yes,Yes,https://silveroakuni.ac.in/
