Name,Address,Fees,Placement,Hostel,Transportation,Link
L.D. College of Engineering,"GMV Complex, Nr. Nehru Bridge, Ahmedabad, Gujarat 380015","Rs.8,490 - Rs.10,490 per year.",75% ,Yes,Yes, https://ldce.ac.in/
Silver Oak University,"352/353, Silver Oak University, 370/371, near Bhavik Publication, Gota Gam, Gota, Ahmedabad, Gujarat 382481","₹40,000 per year (approx.)",65-70% ,Yes,Yes,https://silveroakuni.ac.in/
Vishwakarma Government Engineering College,"69, Shri Hari Estate, Panna Estate Rd, Ahmedabad - 380006","₹1,500 per year",60% (Approx),Yes,Yes,https://www.vgecg.ac.in/
Nirma University,"Nr. Ashram Road, Ahmedabad, Gujarat 382455","₹1,02,500",100%,Yes,Yes,https://www.nirmauni.ac.in/
Indus University,"Rancharda, Via, Shilaj, Gujarat 382115","₹4,04,000",70-80%,Yes,Yes,https://indusuni.ac.in/home.php
Ahmedabad Institute of Technology (AIT),"Thaltej, Ahmedabad, Gujarat 380015","₹1,43,000 per year",60-65% ,Yes,No,http://www.aitindia.in/
LJ University,"LJ Campus, LJ College Rd, near Sanand - Sarkhej Road, Makarba, Sarkhej-Okaf, Gujarat 382210",N/A,60-70%,yes ,yes,https://www.ljku.edu.in/
SAL Education,"19, 20, opp. Science City, Sola, Ahmedabad, Gujarat 380060","Approx ₹56,000 per year",70%,No,No,https://www.sal.edu.in/
Ahmedabad University,"Commerce Six Roads, Naranpark Society, Navrangpura, Ahmedabad, Gujarat 380009",₹2.43L,91%,yes,Yes,https://ahduni.edu.in/
Ahmedabad Institute of Aeronautical Engineering & Information Technology,"Beside Vasantnagar Township 380061, Gota Ognaj road, Off, Gota Cross roads, Ahmedabad, Gujarat 380061","₹45,000 - ₹55,000 per semester",N/A,No,No,https://www.univariety.com/college/Ahmedabad-Institute-of-Aeronautical-Engineering-Information-Technology-AIAEIT/80c91ec0
Aditya College Of Engineering,"XFFP+5H3, 1st St, Sarkhej, Ahmedabad, Sarkhej-Okaf, Gujarat 382210",₹1.05L,N/A,Yes,Yes,https://www.acoe.edu.in/
Rai University ,"504E, 100 Feet Rd, Satellite, Ahmedabad, Gujarat 380015","₹65,000 - ₹75,000 per semester",50%,Yes,Yes,https://www.raiuniversity.edu/
