Name,Address,Fees,Placement,Hostel,Transportation,Link

H K Commerce & Arts College,"Ashram Road, Ahmedabad - 380006 (Opposite Handloom House, Near Vallabh Sadan)",2570/yr,N/A,yes,yes,https://www.hkcommerce.in/
Shreyarth university,"Gujarat Bhavan, Ashram Road, Ellis Bridge, Ahmedabad - 380006 (Near M. J. Library)",36000/yr,9/10,no,no,https://www.shreyarthuni.ac.in/
Swarnim university   ,"Khadia,Ahmedabad -380001,(khadia)",60000/yr,100%,yes,yes,https://www.swarrnim.edu.in/
Gls University,"Gls Campus,Ellisbridge, Ahmedabad - 380006",46000/yr,8/10,yes,yes,https://www.glsuniversity.ac.in
J G College Of Commerce,"Asia English School Campus, Drive In Road, Ahmedabad - 380052 (Next Gurukul, Opposite Drive In Cinema)",32500/yr,8/10,yes,yes,https://jgcc.jgcolleges.org/
Rai University,"Office No 58, TITANIUM CITY CENTER, NR.SACHIN TOWER, ANAND NAGAR ROAD, Satellite, Ahmedabad - 380015 (NR SACHIN TOWER)",210000(3-years),7/10,no,no,https://www.raiuniversity.edu/
Institue of Clinical research India," Rancharda,Thaltej,Ahmedabad380054",345000(3-years),N/A,no,no,https://icriindia.com/
UnitedWorld School of Business,"407, Zodiac Square, Sarkhej Gandhinagar Highway, Ahmedabad - 380055 (Opposite Gurudhwara)",330000(3-years),8/10,no,no,https://karnavatiuniversity.edu.in/uwsb/
Shree Umiya B.C.A. College,"Umiya Campus, Sarkhej Gandhinagar Highway, Sola, Ahmedabad - 380060 (Near Bhagwat Vidhyapith)",12000/yr,7/10,yes,no,https://www.umiyabba-bca.org
Lj Institute Of Management Studies,"LJ Campus, Sarkhej, Ahmedabad - 382210 (Beetween Kataria Motors and Sarkhej Sanand Circle)",90000/yr,7/10,no,no,https://www.ljku.edu.in
Sabarmati University,"Ognaj, Sardar Patel Ring Road, Vaishno Devi Circle, Ahmedabad - 382481 (Near Greenwood Lake Resort)",120000/yr,N/A,yes,no,https://sabarmatiuniversity.edu.in/
Som-lalit College of Commerce ," Slims Campus, St. Xavier's Corner, University Road, Navrangpura, Ahmedabad, Gujarat 380009",35000/yr,9/10,no,no,https://www.somlalitcollege.org
Gujarat University,"Navrangpura, Ahmedabad, Gujarat 380009 · ~96.4 km",22000/yr,8/10,no,no,https://www.gujaratuniversity.ac.in/
Ahmedabad University,"Commerce Six Roads, Navrangpura, Ahmedabad, Gujarat 380009",270000,9/10,no,no,https://www.ahduni.edu.in
Indus  University,"Rancharda, Thaltej, Ahmedabad, Gujarat 382115 ",85000/yr,10/10,no,no,https://www.indusuni.ac.in
Gujarat Commerce College,"B-302, Sahid Veer Kinariwala Marg, Ellis Bridge, Ahmedabad, Gujarat 380006 ",N/A,8/10,no,no,https://www.gccabd.co.in
