Name,Address,Fees,Placement,Hostel,Transportation,Link
St. Xavier's College," Surajmal Zaveri Rd, Navrangpura, Ahmedabad, Gujarat 380009",30000,50-60%, yes,No,https://sxca.edu.in/
" L J College of Computer Applications, Ahmedabad","2GMJ+JCV, NEAR NEW, IIM Rd, Vastrapur, Ahmedabad, Gujarat 380015",13000,98%,yes,no,https://collegedunia.com/college/24156-l-j-college-of-computer-applications-ahmedabad/courses-fees
Shri Chimanbhai Patel Post Graduate Institute of Computer Applications," Sarkhej - Gandhinagar Hwy, opposite Karnavati Club, Makarba, Ahmedabad, Gujarat 380015",26000,65%, yes,No,https://cpi.edu.in/
Asia Pacific Institute of Management - [APIM],"Ashram Road, 9, Vidya Vihar Colony Rd, opp. Fortune Landmark Hotel, Usmanpura, Ahmedabad, Gujarat 380013",87500 (3 years),98%,yes,yes,https://apim.ac.in/bachelor-of-computer-applications-bca/
GLS University,"GLS Campus Off C G, Chimanlal Girdharlal Rd, Ellisbridge, Gujarat 380006",55000,40%,yes ,yes,https://gyaanarth.com/college/gls-institute-of-computer-application-ahmedabad/
H L Institute of Computer Application,"AG Teachers College Campus, Commerce Six Rd, Navrangpura, Ahmedabad, Gujarat 380009",30000 (3 years),N/A,yes,yes,https://www.universitydunia.com/institute/14848-hl-institute-of-computer-applications
lokmanya college of computer applications,"Shivranjani Cross Rd, Shivranjani, Satellite, Ahmedabad, Gujarat 380015",27000,70%,yes,no,https://lokmanya.ac.in/
JG College Of Computer Applications," ASIA Campus, Drive in Road,,Thaltej, Ahmedabad, Gujarat 380054",54000 (3 years),40%,yes,no,https://jgbca.jgcolleges.org/
Navgujarat College of Computer Applications,"Navgujarat Campus, Ashram Road, opp. Gujarat Vidhyapith, Ahmedabad, Gujarat 380014",54000(3 years),70%,no,no,https://collegedunia.com/college/24262-navgujarat-college-of-computer-applications-ahmedabad/hostel
PD Pandya Institute of Computer Application,"Vatva, Ahmedabad, Gujarat 380050",54000(3 years),87%,no,no,https://www.pdpandyabca.com/
Times Business School,"7 Times house, Sigma I Corporates, Bodakdev, Ahmedabad-54, Ahmedabad, Gujarat 380054",25000,N/A,yes,no,https://www.univariety.com/college/Times-Business-School-Ahmedabad/e01ea204
Som-Lalit Management College,"St. Xavier's Corner, University Rd, Navrangpura, Ahmedabad, Gujarat 380009",13000,80%,no,no,https://www.somlalitcollege.org/bca/
Dr. Babasaheb Ambedkar Open University,"Jyotirmay Parisar, Sarkhej-Gandhinagar Highway, Chharodi, Sarkhej - Gandhinagar Hwy, opp. Shri Balaji Temple, Ahmedabad, Gujarat 382481",15000,70-80%,yes,no,https://baou.edu.in/courses/BCA
Khyati Foundation,"Plot No. 116, B/h. Electrotherm Industries, Nr. Vraj Gopi Society, Palodia, Gujarat 380058",33400,95%,yes,yes,https://www.khyatifoundation.com/
Silver Oak University,"352/353, Silver Oak University, 370/371, near Bhavik Publication, Gota Gam, Gota, Ahmedabad, Gujarat 382481",42000,70%,yes,yes,https://silveroakuni.ac.in/
Rai School of Engineering - [RSE],"SH144, Saroda, Gujarat 382260",120000(3years),80%,yes,yes,https://www.raiuniversity.edu/
Kaushalya The Skill University,"Mahatma Gandhi Labour Institute Diploma In Humans Resorce, Mahatma Gandhi Labour Institute, Kaushalya The Skill University, Sushil Nagar Society, Memnagar, Ahmedabad, Gujarat 380052",38000,N/A,yes,yes,https://kaushalyaskilluniversity.ac.in/
Indus University,"Rancharda, Via, Shilaj, Gujarat 382115",55000,70%,yes,yes,https://indusuni.ac.in/home.php
Shri Kiritbhai D. Patel (Devgadh) Umiya BCA College,"UMIYA CAMPUS, Sarkhej - Gandhinagar Hwy, nr. Bhagwat Vidyapith Road, Sola, Ahmedabad, Gujarat 380060","30,000 - ₹35,000",N/A,yes,no,http://www.umiyabba-bca.org/
Shri Sahjanand Arts & Comm College,"Kamdhenu Complex, SHRI SAHAJANAND ARTS & COMMERCE COLLEGE, 120 Feet Ring Rd, AEC Char Rasta, near Nehrunagar, Ambawadi, Ahmedabad, Gujarat 380015","51,350",25%,no,no,https://www.ssccm.ac.in/
C.U.Shah Commerce College,"Ashram Rd, near Gujarat Vidyapeeth, Sattar Taluka Society, Incometax Circle, Ahmedabad, Gujarat 380014","32,000 to ₹37,000",70%						,no,no,https://cushahcommercecollege.org/
