Name,Address,Fees,Placement,Hostel,Transportation,Link
"HL College of Commerce - [HLCC], Ahmedabad","H.L Campus, SV Desai Marg, Navrangpura, Ahmedabad, Gujarat 380009","₹2,570(1st Year Fees)",12.44%, yes (Girls),No, https://www.hlcollege.edu/
"St Xavier's College, Ahmedabad"," Surajmal Zaveri Rd, Navrangpura, Ahmedabad, Gujarat 380009"," ₹60,485 (1st Year Fees)",80%, No,No, https://sxca.edu.in/
"Gujarat University - [GU], Ahmedabad"," Navrangpura, Ahmedabad, Gujarat 380009 ","₹11,500 (1st Year Fees)",80%, yes,yes, https://www.gujaratuniversity.ac.in/
Umiya Arts and Commerce College for Girls,"UMIYA CAMPUS, Sarkhej - Gandhinagar Hwy, near Bhagvat Vidyapith, Sola, Ahmedabad, Gujarat 380060",N/A,Not Available, yes,No, https://www.umiyacollege.org/
P D Pandya Mahila Commerce College,"  Smruti Park, PD Pandya College Rd, Ghodasar, Ahmedabad, Gujarat 380050",N/A,50%, no,No,N/A
Som-Lalit Education and Research Foundation (SLERF),"St. Xavier's Corner, University Rd, Navrangpura, Ahmedabad, Gujarat 380009",N/A,N/A,Yes ,yes, https://www.somlalitcollege.org/
Asia Pacific College,"Ashram Road, 9, Vidya Vihar Colony Rd, opp. Fortune Landmark Hotel, Usmanpura, Ahmedabad, Gujarat 380013",₹35600,98%,yes ,yes, https://apim.ac.in/
JG University,"ASIA Campus, Dr. John Geevargese Marg, Drive In Rd, Sunrise Park, Thaltej, Ahmedabad, Gujarat 380054","₹35,000 (1st Year Fees)",40%,No ,No, https://jguni.in/
"GLS University, Ahmedabad","Netaji Rd, Opp.Law Garden, Ellisbridge, Ahmedabad, Gujarat 380006","₹32,200",80%,Yes (only Girls),Yes, https://www.glsuniversity.ac.in/
Ahmedabad University,"Commerce Six Roads, Naranpark Society, Navrangpura, Ahmedabad, Gujarat 380009","₹2,30,000",94%,Yes ,Yes, https://ahduni.edu.in/ 
C.U.Shah Commerce College,"Ashram Rd, near Gujarat Vidyapeeth, Sattar Taluka Society, Incometax Circle, Ahmedabad, Gujarat 380014","₹2,620",70%,No,no, https://cushahcommercecollege.org/
C C Sheth College of Commerce,"Ashram Rd, Opp.Gujarat Vidhyapith, Ellisbridge, Ahmedabad, Gujarat 380014","₹2,070/- per year",N/A,No,No, N/A
Shree HK Commerce College,"Ashram Rd, near Chinubhai Tower, opp. Handloom House, Vishalpur, Ellisbridge, Ahmedabad, Gujarat 380009",N/A,N/A,No,No, https://www.hkcommerce.in/
Silver Oak University,"370/371, near Bhavik Publication, Gota Gam, Gota, Ahmedabad, Gujarat 382481",₹35000,N/A,Yes ,No, https://silveroakuni.ac.in/
Navgujarat commerce college,"Mehganinagar, Sector 28, Gandhinagar, Gujarat 382027",,N/A,No,No, N/A
Lokmanya Group of Colleges,"Shivranjani Cross Rd, Shivranjani, Satellite, Ahmedabad, Gujarat 380015","₹13,000",80%,Yes ,No, https://lokmanya.ac.in/
H A College Of Commerce,"GLS Campus, Netaji Rd, Opposite Law Garden, Ellisbridge, Ahmedabad, Gujarat 380006","₹5,760",N/A,Yes (only Girls),Yes, www.hacollege.co.in
Gujarat Arts and Commerce College,"opp. Inder Residency Hotel, Ellisbridge, Ahmedabad, Gujarat 380006",N/A,N/A,NO,No, https://gccabd.co.in/
Nirma University,"Sarkhej - Gandhinagar Hwy, Gota, Ahmedabad, Gujarat 382481",₹1.24 Lakhs,100%,Yes,yes, https://nirmauni.ac.in/
Indus University,"Rancharda, Via, Shilaj, Gujarat 382115","₹ 45,000",N/A,yes,Yes, https://indusuni.ac.in/home.php
