Name,Address,Fees,Placement,Hostel,Transportation,Link

National Institute of Fashion Technology (NIFT)			, National Institute of Fashion Technology address,"₹8,07,000 (approx.)",N/A,Yes,Yes,https://www.nift.ac.in/ahmedabad

National Institute of Design (NID)			,"Paldi, Ahmedabad, Gujarat 380007","₹8,28,000 (approx.)		",N/A,Yes,Yes, https://www.nid.edu/

Indus University			,"Rancharda, Via, Shilaj, Gujarat 382115","₹261,000	",N/A,Yes,Yes,https://indusuni.ac.in/home.php

"Pearl Academy, Ahmedabad			"," 402-404, 4th Floor, Shapath-2, Opp. Shapath-1, Shapath Marg, Vastrapur, Ahmedabad,","₹6,50,000 per annum (approx.) ",N/A,Yes,Yes,https://pearlacademy.com/campus/ahmedabad/

"The Calcutta Institute of Engineering and Management (CIEM), Ahmedabad			","1st Floor, Shiv Shakti Complex, Near Shivranjani Cross Road, Bodakdev, Ahmedabad, Gujarat 380054","₹2,50,000 per annum (approx.) 	",N/A,Yes,Yes,https://www.ciem.ac.in/ 

