Question,optionA,optionB,optionC,optionD,Answer

Q. The number of all possible matrices of order 3 x 3 with each entry 0 or 1 is: ,A) 27 ,B) 18 ,C) 81 ,D) 512 ,Answer: D

Q. The sum of the series 1 + 2 + 3 + ... + n is: ,A) n(n+1)/2 ,B) n(n-1)/2 ,C) n^2 ,D) n^2+1 ,Answer: A

Q. The number of ways to arrange the letters in the word MATHEMATICS is: ,A) 11! ,B) 11! / (2!2!2!) ,C) 11! / (2!2!) ,D) 10! ,Answer: B

Q. The solution to the inequality 2x - 3 > 7 is: ,A) x > 2 ,B) x > 5 ,C) x < 5 ,D) x < 2 ,Answer: B

Q. The differential equation of the family of circles having centres on the y-axis and radius 3 units is of order: ,A) 1 ,B) 2 ,C) 3 ,D) 0 ,Answer: B

"Q. If A is a square matrix of order 3 such that |3A| = k|A|, then k is equal to: ",A) 3 ,B) 9 ,C) 27 ,D) 81 ,Answer: C

Q. The integral of sin(x) from 0 to pi is: ,A) 0 ,B) 1 ,C) -1 ,D) pi ,Answer: A

Q. The derivative of ln(x) is: ,A) 1/x ,B) x ,C) e^x ,D) x^2 ,Answer: A

Q. The limit of (sin(x) - x) / x^3 as x approaches 0 is: ,A) 0 ,B) 1/6 ,C) 1 ,D) -1/6 ,Answer: B

"Q. In a geometric progression, the first term is 2, and the common ratio is 3. What is the fifth term?",A) 54,B) 243,C) 486,D) 81,Answer: B

