Question,optionA,optionB,optionC,optionD,Answer
Q. What is the primary focus of humanistic psychology?,A) Understanding unconscious processes,B) Analyzing observable behavior,C) Exploring the impact of society on individuals,D) Studying personal growth and self-actualization,Answer: D
"Q. Who developed the theory of psychosocial development, emphasizing stages across the lifespan?",A) Sigmund Freud,B) Erik Erikson,C) B.F. Skinner,D) Abraham Maslow,Answer: B
"Q. In the nature vs. nurture debate, what does ""nurture"" refer to?",A) Genetic factors,B) Environmental influences,C) Inherited traits,D) Personality characteristics,Answer: B
Q. Which neurotransmitter is associated with mood regulation and is often implicated in depression?,A) Serotonin,B) Dopamine,C) Acetylcholine,D) Endorphins,Answer: A
"Q. What is the term for a sudden, intense feeling of fear or anxiety with physical symptoms like increased heart rate and sweating?",A) Panic attack,B) Phobia,C) Obsession,D) PTSD,Answer: A
Q. Who is known for the social-cognitive theory and the concept of self-efficacy?,A) Albert Bandura,B) Ivan Pavlov,C) John Watson,D) Jean Piaget,Answer: A
Q. What is the primary focus of abnormal psychology?,A) Studying normal behavior,B) Analyzing brain structure,C) Understanding and treating mental disorders,D) Exploring cognitive processes,Answer: C
Q. What is the term for the phenomenon where a person experiences two conflicting thoughts or beliefs simultaneously?,A) Projection,B) Cognitive dissonance,C) Regression,D) Rationalization,Answer: B
"Q. According to the bystander effect, what is the likelihood of an individual helping in an emergency situation when others are present?",A) Increases,B) Decreases,C) Unaffected,D) Depends on personality,Answer: B
"Q. Who proposed the stages of moral development, focusing on how individuals reason through moral dilemmas?",A) Lawrence Kohlberg,B) Carol Gilligan,C) Erik Erikson,D) Jean Piaget,Answer: A
Q. What is the primary focus of existential psychology?,A) Unconscious desires,B) Human experience and free will,C) Behavioral conditioning,D) Social influences,Answer: B
Q. Who developed the theory of classical conditioning by studying the salivary reflex in dogs?,A) Sigmund Freud,B) Ivan Pavlov,C) John Watson,D) B.F. Skinner,Answer: B
Q. What is the term for the tendency to attribute one's successes to internal factors and failures to external factors?,A) Self-serving bias,B) Fundamental attribution error,C) Confirmation bias,D) Social loafing,Answer: A
"Q. In the context of personality, what does the ""Big Five"" refer to?",A) Five major theories of personality,B) Five dimensions of personality traits,C) Five stages of development,D) Five defense mechanisms,Answer: B
"Q. Who developed the concept of the ""Hierarchy of Needs,"" which includes physiological, safety, love, esteem, and self-actualization needs?",A) Sigmund Freud,B) B.F. Skinner,C) Carl Rogers,D) Abraham Maslow,Answer: D
Q. What is the term for a research method where researchers observe and record behavior in its natural setting without interference?,A) Experiment,B) Case study,C) Survey,D) Naturalistic observation,Answer: D
"Q. Who is known for the concept of the ""Collective Unconscious,"" which suggests the existence of shared, inherited memories in humans?",A) Carl Rogers,B) Carl Jung,C) Erik Erikson,D) Jean Piaget,Answer: B
"Q. According to Erik Erikson, what is the primary psychosocial crisis during the early adulthood stage?",A) Trust vs. Mistrust,B) Autonomy vs. Shame and Doubt,C) Intimacy vs. Isolation,D) Generativity vs. Stagnation,Answer: C
