Question,optionA,optionB,optionC,optionD,Answer
Q. What is the primary focus of sociology as a discipline?,A) Studying individual behavior,B) Analyzing economic systems,C) Understanding society and human social interactions,D) Exploring psychological processes,Answer: C
"Q. Who is known for the concept of the ""sociological imagination,"" which encourages individuals to connect personal experiences with broader social issues?",A) Emile Durkheim,B) Max Weber,C) Karl Marx,D) C. Wright Mills,Answer: D
"Q. In the context of sociology, what is the term for a large social group characterized by shared beliefs, values, norms, and behaviors?",A) Community,B) Society,C) Association,D) Institution,Answer: B
"Q. According to Karl Marx, what is the term for the social class that owns the means of production in a capitalist society?",A) Proletariat,B) Bourgeoisie,C) Middle class,D) Peasantry,Answer: B
"Q. Who is known for the theory of functionalism, which views society as a complex system with interrelated parts that work together to maintain stability?",A) Karl Marx,B) Emile Durkheim,C) Max Weber,D) C. Wright Mills,Answer: B
"Q. What is the term for the process by which individuals internalize the values, beliefs, and norms of a given society?",A) Socialization,B) Acculturation,C) Globalization,D) Individualization,Answer: A
"Q. Who developed the concept of the ""iron cage,"" suggesting that modern bureaucracy restricts individual freedom and creativity?",A) Karl Marx,B) Max Weber,C) Emile Durkheim,D) C. Wright Mills,Answer: B
"Q. In sociology, what is the term for the negative treatment of a person or group based on their perceived social category?",A) Prejudice,B) Discrimination,C) Stereotyping,D) Segregation,Answer: B
"Q. According to Emile Durkheim, what is the term for a situation where social norms are weak, leading to a breakdown in social order?",A) Anomie,B) Alienation,C) Deviance,D) Social stratification,Answer: A
"Q. Who is known for the concept of the ""Protestant work ethic,"" linking the rise of capitalism to religious values?",A) Karl Marx,B) Max Weber,C) Emile Durkheim,D) C. Wright Mills,Answer: B
Q. What is the term for a theoretical perspective in sociology that emphasizes the role of power and inequality in shaping social structures?,A) Functionalism,B) Conflict theory,C) Symbolic interactionism,D) Feminist theory,Answer: B
"Q. Who is known for the theory of symbolic interactionism, which focuses on the symbolic meaning individuals attach to objects, events, and behaviors?",A) Karl Marx,B) Max Weber,C) Emile Durkheim,D) George Herbert Mead,Answer: D
"Q. In sociology, what is the term for the systematic study of human society, including patterns of social relationships, social interaction, and culture?",A) Anthropology,B) Psychology,C) Sociology,D) Economics,Answer: C
"Q. Who is known for the theory of ""social constructionism,"" suggesting that reality is socially constructed through language and shared meanings?",A) Erving Goffman,B) Michel Foucault,C) Peter Berger,D) Howard Becker,Answer: C
Q. What is the term for a society in which industrial technology is a dominant economic and social force?,A) Agrarian society,B) Industrial society,C) Postindustrial society,D) Feudal society,Answer: B
"Q. Who developed the concept of ""primary groups"" and ""secondary groups"" to describe different types of social relationships?",A) Emile Durkheim,B) Max Weber,C) Charles Horton Cooley,D) George Herbert Mead,Answer: C
"Q. According to feminist theory, what is the term for the social, political, and economic equality of the sexes?",A) Gender equality,B) Patriarchy,C) Feminism,D) Androcentrism,Answer: A
"Q. What is the term for a set of beliefs, values, and practices that define a group of people and distinguish them from others?",A) Subculture,B) Counterculture,C) Culture,D) Norm,Answer: C
"Q. Who is known for the concept of ""social facts,"" which are external to individuals and exert a coercive influence over their behavior?",A) Karl Marx,B) Max Weber,C) Emile Durkheim,D) C. Wright Mills,Answer: C
"Q. In sociology, what is the term for the unintended consequences of social institutions and practices?",A) Manifest functions,B) Latent functions,C) Dysfunction,D) Anomie,Answer: B
