Question,optionA,optionB,optionC,optionD,Answer
"Q. In a right-angled triangle, if the tangent of one angle is 0.6, what is the value of the corresponding cotangent?",A) 0.6,B) 1.6,C) 1.7,D) 1.2,Answer: B
"Q. If sin θ = 0.8, what is the value of cos θ?",A) 0.2,B) 0.4,C) 0.6,D) 0.5,Answer: A
"Q. In a triangle ABC, if angle B is 45 degrees, what is the measure of angle C?",A) 45 degrees,B) 90 degrees,C) 60 degrees,D) 30 degrees,Answer: C
"Q. If sec α = 2, what is the value of cos α?",A) 0.5,B) 0.7,C) 0.8,D) 1.2,Answer: A
"Q. Given a right-angled triangle XYZ with angle Y as the right angle, if the length of side XY is 15 units and side YZ is 20 units, what is the length of side XZ?",A) 5 units,B) 25 units,C) 18 units,D) 12 units,Answer: A
"Q. If cot β = 3/4, what is the value of tan β?",A) 0.75,B) 1.25,C) 1.33,D) 0.8,Answer: B
"Q. In a triangle PQR, if angle P is 60 degrees, what is the measure of angle Q?",A) 30 degrees,B) 90 degrees,C) 60 degrees,D) 120 degrees,Answer: A
"Q. If cos θ = -0.6, what is the value of sin θ?",A) 0.6,B) -0.8,C) -0.4,D) 0.8,Answer: C
Q. Solve for x: sin^2(x) + cos^2(x) = 1.,A) x = 0,B) x = π/4,C) x = π/2,D) x = π,Answer: A
"Q. If tan γ = 5/12, what is the value of sin γ?",A) 0.6,B) 0.4,C) 0.8,D) 0.2,Answer: A
"Q. If sin α = 0.6, what is the value of cosec α?",A) 1.5,B) 1.2,C) 1.67,D) 1.4,Answer: A
"Q. In a triangle DEF, if angle D is 90 degrees and sin E = 0.8, what is the length of side EF if side DE is 15 units?",A) 12 units,B) 18 units,C) 20 units,D) 25 units,Answer: B
Q. Solve for θ in the equation tan(2θ) = 1.,A) π/8,B) π/6,C) π/4,D) π/3,Answer: C
"Q. If cos β = -0.4, what is the value of sec β?",A) -2.5,B) -2.2,C) -2.67,D) -2.5,Answer: A
"Q. Given a right-angled triangle ABC with angle C as the right angle, if the length of side AB is 24 units and side AC is 18 units, what is the length of side BC?",A) 30 units,B) 12 units,C) 15 units,D) 20 units,Answer: B
"Q. If cot γ = 4/3, what is the value of tan γ?",A) 0.75,B) 0.8,C) 1.33,D) 1.25,Answer: C
