Question,optionA,optionB,optionC,optionD,Answer
Q. What does CPU stand for in computing?,A) Central Processing Unit,B) Central Program Unit,C) Computer Processing Unit,D) Central Peripheral Unit,Answer: A
Q. Which component is known as the brain of the computer?,A) RAM,B) Hard Drive,C) CPU,D) GPU,Answer: C
Q. What does RAM stand for in computing?,A) Read-Only Memory,B) Random Access Memory,C) Remote Access Memory,D) Read Access Memory,Answer: B
Q. Which of the following is a volatile memory type?,A) ROM,B) EEPROM,C) RAM,D) Flash Memory,Answer: C
Q. What is the purpose of the motherboard in a computer?,A) Store data,B) Connect various components,C) Execute instructions,D) Display graphics,Answer: B
Q. Which component is responsible for storing permanent data in a computer?,A) RAM,B) Hard Drive,C) CPU,D) GPU,Answer: B
Q. What is the function of the GPU in a computer?,A) Execute instructions,B) Store data,C) Display graphics,D) Manage network connections,Answer: C
Q. What does BIOS stand for in computing?,A) Basic Input/Output System,B) Binary Input/Output System,C) Base Input/Output System,D) Basic Integrated Output System,Answer: A
Q. What is the purpose of an expansion slot on a motherboard?,A) Connect peripherals,B) Store data,C) Execute instructions,D) Display graphics,Answer: A
Q. Which type of storage device is known for its fast data access but is volatile?,A) Hard Drive,B) SSD (Solid State Drive),C) RAM,D) DVD,Answer: C
Q. What does USB stand for in the context of computer connections?,A) Universal Serial Bus,B) United System Bus,C) Uniform System Bus,D) Ultra Speed Bus,Answer: A
Q. What is the purpose of a CPU cache?,A) Store frequently used programs and data,B) Connect peripherals,C) Execute instructions,D) Display graphics,Answer: A
Q. Which type of memory retains its data even when the power is turned off?,A) RAM,B) Cache,C) ROM,D) Flash Memory,Answer: C
Q. What is the purpose of the power supply unit (PSU) in a computer?,A) Store data,B) Convert and supply power to components,C) Execute instructions,D) Display graphics,Answer: B
Q. What does RAID stand for in data storage?,A) Redundant Array of Independent Disks,B) Random Access Independent Drives,C) Rapid Access of Integrated Data,D) Remote Array of Internal Drives,Answer: A
Q. Which port is commonly used for connecting external hard drives to a computer?,A) USB,B) HDMI,C) VGA,D) Ethernet,Answer: A
Q. What is the purpose of the heat sink in a computer?,A) Store data,B) Remove heat from the CPU,C) Execute instructions,D) Display graphics,Answer: B
Q. What is the function of the Northbridge on a motherboard?,A) Manage communication between CPU and RAM,B) Manage communication between CPU and GPU,C) Manage communication between peripherals,D) Manage network connections,Answer: A
Q. What does HDMI stand for in the context of video and audio connections?,A) High-Definition Multimedia Interface,B) High-Speed Data Interface,C) Hyperlink System for Multimedia Integration,D) Hybrid Digital Media Interface,Answer: A
Q. What is the purpose of the CMOS battery on a motherboard?,A) Store data,B) Provide power to the CPU,C) Manage network connections,D) Retain system settings and the real-time clock,Answer: D
Q. What is the primary function of a router in a computer network?,A) Connect devices within a local network,B) Store data,C) Execute instructions,D) Display graphics,Answer: A
Q. Which component is responsible for managing data traffic between the CPU and other components?,A) RAM,B) Southbridge,C) Northbridge,D) GPU,Answer: B
Q. What is the purpose of the BIOS in a computer system?,A) Display graphics,B) Execute instructions,C) Manage network connections,D) Initialize hardware during the boot process,Answer: D
Q. Which of the following is an example of an input device?,A) Printer,B) Monitor,C) Keyboard,D) Speakers,Answer: C
Q. Which type of memory is non-volatile and used for firmware storage?,A) RAM,B) Cache,C) ROM,D) Flash Memory,Answer: C
