Question,optionA,optionB,optionC,optionD,Answer
Q. What is ethical hacking?,A) Unauthorized system intrusion,B) Authorized testing of systems for security vulnerabilities,C) Developing malicious software,D) Identity theft,Answer: B
Q. What is the main goal of penetration testing?,A) To exploit vulnerabilities,B) To identify and fix security weaknesses,C) To gather sensitive information,D) To disrupt system operations,Answer: B
Q. Which of the following is an example of a social engineering attack?,A) SQL injection,B) Brute force attack,C) Phishing,D) Cross-site scripting,Answer: C
Q. What is the purpose of a firewall in network security?,A) To detect and remove malware,B) To block unauthorized access,C) To encrypt communication,D) To monitor system performance,Answer: B
"Q. What does the term ""vulnerability"" refer to in the context of cybersecurity?",A) A weakness that could be exploited,B) A type of malware,C) A secure network configuration,D) A strong password,Answer: A
Q. What is the role of encryption in securing data?,A) Hiding data from the operating system,B) Making data more accessible,C) Protecting data by converting it into a secure format,D) Deleting data permanently,Answer: C
"Q. What is a ""zero-day exploit""?",A) An attack that occurs at midnight,B) A vulnerability that is unknown to the software vendor,C) Exploiting systems with outdated software,D) An attack with zero chance of success,Answer: B
Q. What is the purpose of a VPN (Virtual Private Network)?,"A) To create a secure, encrypted connection over the internet",B) To broadcast network traffic openly,C) To increase vulnerability to attacks,D) To replace firewalls,Answer: A
"Q. What is the concept of ""white hat"" hackers?",A) Hackers with malicious intent,B) Hackers who wear white hats while working,C) Ethical hackers who use their skills to help organizations,D) Government-sponsored hackers,Answer: C
Q. What is the first phase of ethical hacking?,A) Exploitation,B) Reconnaissance,C) Analysis,D) Patching,Answer: B
"Q. What is the purpose of a ""honeypot"" in cybersecurity?","A) To lure attackers and detect, deflect, or study hacking attempts",B) To store sensitive data,C) To block all incoming network traffic,D) To slow down network performance,Answer: A
Q. What is the primary function of antivirus software?,A) To create vulnerabilities in a system,B) To identify and remove malicious software,C) To encrypt data,D) To hack into systems,Answer: B
Q. Which of the following is an example of two-factor authentication?,A) Username and password,B) Fingerprint scan and facial recognition,C) Security questions,D) IP address and MAC address,Answer: B
Q. What is the main purpose of a security policy in an organization?,A) To slow down computer systems,B) To communicate security expectations to employees,C) To increase vulnerability to cyber attacks,D) To encourage sharing of passwords,Answer: B
"Q. What does the term ""phishing"" refer to?",A) A physical security breach,B) Sending deceptive emails to trick individuals into revealing sensitive information,C) Physical damage to computer systems,D) Unauthorized access to computer networks,Answer: B
"Q. What is ""malware"" short for?",A) Malicious software,B) Management software,C) Marketing software,D) Maintenance software,Answer: A
"Q. What is the purpose of a ""firewall"" in the context of computer security?",A) To physically block access to a computer,B) To filter and control network traffic,C) To increase network speed,D) To decrypt encrypted data,Answer: B
Q. What is the primary objective of a DDoS (Distributed Denial of Service) attack?,A) To steal sensitive information,B) To encrypt data,C) To make a service unavailable by overwhelming it with traffic,D) To hack into a system,Answer: C
Q. What is the primary goal of ransomware?,A) To spread widely without causing harm,B) To steal passwords,C) To encrypt data and demand payment for its release,D) To improve system performance,Answer: C
"Q. What is the role of a ""penetration tester"" in ethical hacking?",A) To develop malware,B) To identify and exploit vulnerabilities,C) To patch security holes,D) To encrypt data,Answer: B
"Q. What is the ""principle of least privilege"" in cybersecurity?",A) Giving users the maximum level of access,B) Giving users the least amount of access necessary to perform their jobs,C) Granting access based on seniority,D) Allowing unlimited access to all employees,Answer: B
"Q. What is a ""brute force attack""?",A) A forceful physical intrusion into a secure facility,B) A powerful DDoS attack,C) An attempt to crack a password by trying all possible combinations,D) A type of social engineering attack,Answer: C
"Q. What is the purpose of ""cryptography"" in information security?",A) To create vulnerabilities,B) To hide information from authorized users,C) To secure information through codes and ciphers,D) To slow down network traffic,Answer: C
Q. What is the primary focus of network security?,A) Protecting physical devices,B) Protecting data during transmission and storage,C) Improving internet speed,D) Increasing vulnerability to cyber attacks,Answer: B
"Q. What does the term ""SQL injection"" refer to?",A) Injecting code to exploit vulnerabilities in a database,B) Injecting malicious software into a computer,C) Injecting physical damage to computer systems,D) Injecting secure coding practices,Answer: A
"Q. What is the purpose of a ""security audit""?",A) To increase vulnerability to attacks,B) To identify and address security weaknesses in a system,C) To encourage the use of weak passwords,D) To hack into computer networks,Answer: B
Q. What is the importance of regular software updates in cybersecurity?,A) To slow down computer systems,B) To introduce new vulnerabilities,C) To patch security vulnerabilities and improve overall security,D) To increase the risk of cyber attacks,Answer: C
"Q. What is ""social engineering"" in the context of cybersecurity?",A) Enhancing social skills among employees,B) Using psychological manipulation to trick individuals into revealing sensitive information,C) Building social networks within an organization,D) Encouraging social interactions in the workplace,Answer: B
"Q. What is the purpose of a ""sandbox"" in cybersecurity?",A) To store sensitive information,B) To test and isolate untrusted code or programs,C) To slow down computer systems,D) To block all incoming network traffic,Answer: B
"Q. What is the main purpose of a ""security awareness training"" program?",A) To ignore security threats,B) To educate employees about cybersecurity risks and best practices,C) To increase vulnerability to cyber attacks,D) To remove security features from computer systems,Answer: B
