Question,Option A,Option B,Option C,Option D,Answer
Q. What is the purpose of a Bunsen burner in a laboratory?,A) To heat substances,B) To measure volume,C) To conduct electricity,D) To create a vacuum,Answer: A
Q. What safety equipment should be worn when working with chemicals in a laboratory?,A) Safety goggles and lab coat,B) Gloves and sandals,C) Earplugs and a helmet,D) Sunglasses and a scarf,Answer: A
Q. What is the function of a fume hood in a laboratory?,A) To store chemicals,B) To provide ventilation and remove harmful fumes,C) To measure temperature,D) To mix solutions,Answer: B
Q. What is the purpose of a centrifuge in a laboratory?,A) To measure mass,B) To separate substances based on density,C) To measure volume,D) To measure temperature,Answer: B
"Q. What does the term ""sterilization"" mean in a laboratory setting?",A) Cleaning glassware with soap and water,B) Removing stains from surfaces,C) Destroying all microorganisms on surfaces or equipment,D) Keeping equipment organized and tidy,Answer: C
Q. What is the purpose of a microscope in a laboratory?,A) To measure volume,B) To view small objects or organisms,C) To mix solutions,D) To measure temperature,Answer: B
Q. What safety precautions should be taken when using a microscope in a laboratory?,A) Ensure the area is well-ventilated,B) Keep the microscope clean and free of debris,C) Avoid touching the lenses with fingers,D) All of the above,Answer: D
Q. What is the function of a pH meter in a laboratory?,A) To measure acidity or alkalinity of a solution,B) To measure temperature,C) To measure volume,D) To store data,Answer: A
Q. What is the purpose of a balance in a laboratory?,A) To measure temperature,B) To measure volume,C) To measure mass,D) To mix solutions,Answer: C
Q. What is the function of a pipette in a laboratory?,A) To measure temperature,B) To measure mass,C) To measure volume,D) To store data,Answer: C
"Q. What does the term ""titration"" mean in a laboratory setting?",A) A technique to measure the volume of a liquid,B) A technique to measure the mass of a solid,C) A technique to determine the concentration of a solution,D) A technique to sterilize equipment,Answer: C
Q. What safety precautions should be taken when handling acids and bases in a laboratory?,A) Wear gloves and safety goggles,B) Work in a well-ventilated area,C) Use caution when mixing chemicals,D) All of the above,Answer: D
Q. What is the purpose of a spectrophotometer in a laboratory?,A) To measure mass,B) To measure volume,C) To measure temperature,D) To analyze the concentration of a substance in a solution,Answer: D
Q. What is the function of an autoclave in a laboratory?,A) To measure mass,B) To measure volume,C) To sterilize equipment using steam under pressure,D) To mix solutions,Answer: C
Q. What is the purpose of a Petri dish in a laboratory?,A) To measure mass,B) To measure volume,C) To culture microorganisms,D) To store data,Answer: C
Q. What safety precautions should be taken when using a hot plate in a laboratory?,A) Use heat-resistant gloves,B) Avoid using flammable substances,C) Turn off the hot plate when not in use,D) All of the above,Answer: D
Q. What is the function of an incubator in a laboratory?,A) To measure temperature,B) To culture microorganisms,C) To measure mass,D) To measure volume,Answer: B
Q. What is the purpose of a safety shower and eyewash station in a laboratory?,A) To measure temperature,B) To provide emergency decontamination in case of exposure to chemicals,C) To store data,D) To mix solutions,Answer: B
Q. What safety precautions should be taken when working with open flames in a laboratory?,A) Tie back long hair and loose clothing,B) Keep flammable materials away from the flame,C) Use a heat-resistant surface,D) All of the above,Answer: D
Q. What is the purpose of a vacuum pump in a laboratory?,A) To measure mass,B) To measure volume,C) To remove air or gas from a container,D) To measure temperature,Answer: C
Q. What is the function of a desiccator in a laboratory?,A) To measure temperature,B) To culture microorganisms,C) To absorb moisture from substances,D) To measure volume,Answer: C
Q. What safety precautions should be taken when working with electricity in a laboratory?,A) Avoid using damaged cords or equipment,B) Use insulated gloves when handling electrical equipment,C) Disconnect power before servicing equipment,D) All of the above,Answer: D
Q. What is the purpose of a conductivity meter in a laboratory?,A) To measure mass,B) To measure volume,C) To measure the ability of a solution to conduct electricity,D) To measure temperature,Answer: C
Q. What is the function of a magnetic stirrer in a laboratory?,A) To measure mass,B) To mix solutions using a rotating magnetic field,C) To measure volume,D) To measure temperature,Answer: B
Q. What safety precautions should be taken when working with toxic chemicals in a laboratory?,A) Use a fume hood,B) Wear appropriate personal protective equipment,C) Handle chemicals in a well-ventilated area,D) All of the above,Answer: D
Q. What is the purpose of a laboratory notebook?,A) To store data,B) To measure mass,C) To record experimental procedures and results,D) To measure volume,Answer: C
Q. What is the function of a shaker in a laboratory?,A) To measure mass,B) To mix solutions by shaking,C) To measure volume,D) To measure temperature,Answer: B
Q. What safety precautions should be taken when working with cryogenic materials in a laboratory?,A) Wear appropriate personal protective equipment,B) Handle materials in a well-ventilated area,C) Use insulated gloves and face protection,D) All of the above,Answer: D
